id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,thai_do
15,3059,bông thấm có nước tẩy_trang toner là bông bị nhũn lau lên mặt là bị tưa ra mua sản_phẩm khác đáp_ứng nhu_cầu tốt hơn,19/12/2020,7:52,2,413400001,negative
16,1118,xài tốt_tẩy trang sạch xài thấy thích hơn nhiều so nước tẩy_trang loreal inisfre không_có mùi hóa học da không_bị châm chích xài lâu trôi cần chùi một_hai lần là sạch lợi hơn người có_thể mua chung gel rửa mặt,22/06/2021,9:30,5,422204884,positive
17,2273,hơi_bết trắng,17/12/2022,11:20,4,422208183,positive
18,736,sản_phẩm tốt,5/12/2022,15:52,5,100230056,positive
19,731,mua chai thứ đúng kiểu tiền xài tốt hơn nhiều dùng tẩy_trang hàng ngày,4/3/2023,19:08,5,100230056,positive
20,4234,rít mặt đắp xomg phải lau rôid dùng dưỡng sau tuy_nhiên mask tốt_đắp không_bị kích_ứng,17/07/2023,23:05,4,422205637,positive
21,2696,quá_tốt,18/08/2019,23:21,5,422203776,positive
22,1806,shop ban hang tốt,8/12/2016,7:54,5,422216098,positive
23,1281,thấy tốt đúng là tiền,11/10/2021,12:13,5,204900005,positive
24,3417,mùi tự_nhiên có hạt nhẹ không_rát không_kích_ứng da mỏng nhìn_chung xài tốt thử tuýp bé tí teo í phải hỏi bạn nv lấy giùm tìm mỏi_mắt,30/06/2022,22:32,5,351700026,positive
25,1268,dùng sạch bản không_bị khô sạch dầu,18/09/2024,12:03,5,204900056,positive
26,1360,trời stres làn da xài hiệu_quả trông thấy nha điểm,3/7/2024,8:06,5,422208328,positive
27,2255,theo quan_điểm sản_phẩm có dung_tích lớn giá rẻ_hợp bạn học_sinh sinh_viên chưa_có quá_nhiều vấn_đề da đơn_giản muốn làm sạch sản_phẩm có mùi rất_thơm bạn nhạy_cảm hương_liệu cân_nhắc ngoài_ra sữa rửa mặt tạo bọt,12/10/2021,21:48,5,357100011,positive
29,2647,bông được viền_sắc quá_hay làm rát_mặt dễ xước mặt không_mua,15/02/2022,14:41,2,422203300,negative
30,3508,hàng chuẩn giao hàng nhanh_đắp rất_thích da_mướt mịn,1/10/2021,4:50,5,386000044,positive
31,2484,dùng nhiều loại kem chống nắng ưng là loại kem tệp màu_da dễ_tán không_bị trôi khi đổ,10/3/2022,16:20,5,422204388,positive
32,4003,dùng ngày đầu_tiên thấy da_ráo dầu không_bị khô da nhìn da mặt sạch hơn so dùng sản_phẩm cũ,31/05/2022,13:52,5,422205673,positive
33,3626,da nhạy_cảm da hỗn_hợp thiên_khô xài êm không_kích_ứng có nâng tone một_chút tự_nhiên kem mỏng nhẹ không_nặng_mặt cay mắt,30/10/2024,17:25,5,343100024,positive
34,3176,dưỡng da tốt,10/7/2020,22:49,5,345800001,positive
35,2405,sản_phẩm tốt_nha,26/04/2023,18:41,5,308500018,positive
36,681,mùi hương rất_dễ_chịu làm mát da nhanh giá_thành,30/04/2023,15:02,5,204100019,positive
37,319,vào hsk mua về thấy kiểu bị tách nước á_loại thời_tiết lạnh dùng ổn da dầu_mụn xài típ quây về dưỡng da ổn,7/7/2024,23:26,4,422204167,positive
39,132,bông tốt đường viền chắn chắn không_bi_xơ tưa bông bông mềm,25/05/2023,11:14,5,422212331,positive
40,2723,dạng sữa thắm hơi_lâu rất_rất rất_là cay rửa mặt còn rất_cay ngày xài bị,9/6/2023,13:34,3,248700035,negative
42,575,dùng thử cực_cực cực_kì hài_lòng sản_phẩm chống nắng tốt nâng tông không_gây khó_chịu da là da khô_hơi nhạy_cảm dễ lên mụn thấy sử_dụng,29/05/2024,9:02,5,253900006,positive
43,2887,sử_dụng liên_tục sản_phẩm vòng hơn tháng gần qua tháng quan_sát kĩ thấy nền da có cải_thiện rõ_rệt chân nám mờ đi texture lỏng nhẹ_thoa là thấm cực_kì nhanh nhẹ da cực_kì thích packaging thủy_tinh nặng tay thông_tin đầy_đủ chi_tiết là điểm cộng điểm trừ việc hao_hị hị đối_với bạn yêu thích_dưỡng trắng có tình_trạng thâm_nám nhẹ dùng thường_xuyên hết,25/01/2021,13:49,5,422202580,positive
44,677,rất_thích hasaki sản_phẩm tẩy_trang,3/5/2023,18:31,5,200400004,positive
46,2344,sử_dụng dễ_dàng rất_thoải_mái thư_giãn,1/5/2023,20:04,5,308500004,positive
47,2893,sản_phẩm bao_bì đẹp thấm nhanh tông da khó trắng dùng gần lọ lên tông màu hơn rõ kèm theo dễ thoa dễ dùng cấp ẩm tốt,1/2/2021,13:41,5,422202580,positive
48,182,trang tốt quà tặng không_có kèm theo chưng,28/05/2022,14:22,4,422204259,positive
49,3810,là lọ kem dưỡng_ẩm xài hủ kem thấm ghê,14/05/2024,8:44,5,422209048,positive
50,1637,da khô tuy_nhiên dùng vichy_dưỡng ẫm_serum bình_thường rất_dễ_tán hơn rất_nhiều so laroch bản cũ kem nâng tông chắc tầm nửa_tông da khô bôi thấy da hơi_ẩm không_bị khô căng,24/07/2024,11:32,5,100160022,positive
51,706,rất_thích hasaki sản_phẩm tẩy_trang,28/04/2023,18:32,5,100230064,positive
52,414,thấy có số bộ y_tế sản_phẩm click vào không_có hasaki có_thể gửi tham_khảo sản_phẩm hãng được,30/03/2023,13:04,5,422208976,positive
54,441,lần truóc dùng ổn lần mùi cồn nồng_nặc lun,12/11/2022,10:11,4,249500027,positive
55,1469,hợp dầu mắc,5/1/2022,1:03,4,204900056,positive
56,380,bản_thân có da dầu nhạy_cảm rất_dễ mụn rất_kén việc lựa_chọn mỹ_phẩm đặc_biệt là sản_phẩm làm sạch sữa rửa mặt cerave_foaming có bảng thành_phần lành tính độ_ph lý_tưởng khả_năng làm sạch rất_hiệu_quả do_đó thử sử_dụng cảm_thấy sản_phẩm trở_thành item không_thể thiếu quy_trình chăm_sóc da thấy đi bác_sĩ khuyên dùng,22/04/2024,15:21,5,422208976,positive
57,2019,mua lần thứ em chống nắng giá bình_dân dễ tán nâng toner nhẹ tự_nhiên rất_đáng mua,20/11/2022,17:14,5,249500019,positive
58,777,em tốt bàn_thích dịch_vụ giao hàng hasaki dịch giao hàng tỉnh nhanh,20/09/2021,16:36,5,100230057,positive
59,787,em dùng cực_thích dịu nhẹ hợp tẩy_trang mỏng nhẹ bạn make up dày lì nhớ tẩy_trang,22/06/2021,8:29,5,100230057,positive
60,2528,sản_phẩm da dầu dầu mụn cân_nhắc bước chăm_sóc có sử_dụng thuốc đặc_trị mụn khi bôi kem cấp ẩm lâu_thấm cực_kì có dùng dùng được buổi tối bôi lớp mỏng tóm_lại là da dầu mụn,15/07/2021,8:34,3,343700002,negative
61,201,sản_phẩm tốt không_có quà tặng làm tưởng có không_mua,18/06/2022,9:17,4,422204259,positive
62,378,loại dành da đến da_dầu rửa mặt xong sau khoảng da lên dầu nhiều hơn so lúc trước dùng cetaphil chai gần sử_dụng năm hơn là rất_tiết_kiệm hợp_lý khi cetaphil có dung_tích tương_đương dùng khoảng tháng,31/05/2024,22:45,4,422208974,positive
63,223,trang sạch có lớp dầu giữ ẩm da không_bị khô da,14/02/2022,20:59,5,205100136,positive
64,1467,dùng thấy hợp da tạo bọt siêu_thích giá tốt,10/2/2022,7:41,5,204900004,positive
65,1487,thật_sự cực_thích sữa rửa mặt mua xài lâu_dài mua lần,10/1/2021,12:01,5,204900004,positive
66,324,mùi trái_cây thơm nhẹ_tẩy da chết dịu nhẹ không_làm khô da giá_cả,12/9/2020,17:15,5,245500009,positive
67,142,da bị kích_ứng alcohol dùng em tẩy_trang êm_tẩy trang chống nắng lớp make up sạch không_khô da,30/04/2023,12:02,5,422206648,positive
68,2553,mua chai pro acne lần đóng_gói kỹ giao hàng nhanh tiếc vừa_rồi lỡ mất khung chất_lượng không_cần phải nói nhiều da mụn cần giải_quyết vấn_đề liên_quan dầu nhờn thâm_lỗ chân_lông phải dùng ngày chai,9/11/2020,16:19,5,204100018,positive
69,1245,tẩy_trang xài rất_thích bông rất_dai_nên mua,11/6/2023,13:56,5,422212331,positive
70,2336,sử_dụng dễ giàng rất_thoải_mái thư_giản,2/5/2023,16:23,5,422205163,positive
71,3362,em vichy dùng thích lám mát_da cự_kỳ thấm nhanh da cảm_giác khô_thoáng nhẹ,22/06/2019,10:13,5,201600019,positive
72,2434,da mặt rất_nhạy_cảm may tìm mask cực_hợp da tiếc mask hết hàng lâu quá_chờ_đợi chưa_thấy mask có hàng mong là hasaki sớm sớm có lại mẫu mask,27/02/2021,20:52,5,422205164,positive
73,2523,môi giảm thâm rất_nhiều khi sử_dụng sản_phẩm thời_gian dài dùng năm không_thay_đổi,20/08/2023,14:23,5,200500293,positive
74,1282,mua đi mua lại mua mua không_thôi,11/10/2021,9:44,5,422216603,positive
75,742,nói tặng bông tẩy_trang khi giao hàng không_có tặng kể_cả gel rửa mặt,16/09/2022,13:35,4,200400003,positive
76,1370,cấp ẩm_ổn vết thâm làm mờ tốt thâm cũ dùng hết chai chưa_thấy mờ,15/04/2023,16:18,3,318900002,negative
77,384,đánh_giá cao sản_phẩm da siêu_cấp nhạy_cảm không_dùng kcn sau khi thoa gần kích_ứng ngay_lập_tức phải rửa mặt sản_phẩm không_hề thoa hết lọ nền da có mụn lớp cuối ngày nhìn da đẹp hơn ngày không_vân kem không_dễ trôi đi ra ngoài mồ_hôi trôi sạch làm nhà không_ra không_đổ đúng sản_phẩm có mùi cồn làm cay mắt ưng sản_phẩm vô_cùng da có mụn tẩy_trang kỹ,29/10/2023,9:58,5,422212097,positive
78,1061,dùng chai nắp hồng_nhe dịu nhẹ lành_tính oki người,15/08/2023,0:07,5,422204910,positive
79,3533,bị viêm da_tiết bã mụn rosacea_xài sản_phẩm hầu_như không_hợp_da là hỗn_hợp thiên_khô đôi_khi là khô dùng chai sau khi rửa mặt khi da ẩm bị kích_ứng đỏ ngày hôm sau có_khi vết ngứa khi dùng chai kết_hợp kem dưỡng mỏng nhẹ cerave bioderma cicabio da ẩm kết_hợp sản_phẩm chất bị dày vì_vậy cách hợp bạn nằm tóm_lại thấy chai hợp bạn da dầu hỗn_hợp xài chai không_có kết_hợp sản_phẩm khác chưa_đủ bạn muon sử_dụng sản_phẩm đi ngủ mua kem dưỡng ẩm khác,18/12/2022,12:22,4,422202629,positive
80,469,mua kcn tặng sữa rửa mặt mini thời_hạn khi,10/5/2023,13:14,5,204900013,positive
81,1944,,18/11/2023,15:41,5,422209262,positive
82,306,tẩy sạch giá,3/1/2021,10:11,4,205100146,positive
83,421,da hỗn_hợp thiên_dầu dùng ẻm xong không_hề bị khô căng da sản_phẩm khác dạng gel suốt bọt lên kha_khá đủ masage mặt da mụn_ẩn trộm_vía dùng loại không_bị đẩy nói_chung giá hơi_cao đáng mua,14/11/2022,7:43,5,422208975,positive
84,270,là da sau hơn tháng nha rất_tốt thâm_mờ đỡ mụn viêm bạn kiên_trì nha sử_dụng tuần muốn hết không_được,27/03/2022,19:06,5,327500002,positive
85,2382,sử_dụng nhẹ_nhàng rất_thoải_mái thư_giãn,29/04/2023,12:40,5,308500015,positive
86,1490,rửa xong cảm_giác rất_sạch nhẹ quá_trình rửa bọt rất_mịn thơm làm cực_thích,2/11/2020,11:57,5,204900056,positive
87,2498,mùi hương dễ_chịu làm mát nhanh giá_thành ổn,3/5/2023,18:13,5,422206537,positive
88,1972,mát dịu da_thích giá thích_hợp sinh_viên,20/07/2023,19:01,5,100150059,positive
89,1348,xài chai tinh_chất màu tím giờ chuyển chai chất sửa màu hồng_nhạt mùi thom dê chịu mỏng nhẹ không_bị đổ dầu,22/05/2021,13:24,5,422207414,positive
91,801,,13/10/2020,19:19,5,100230064,positive
92,679,sử_dụng dễ_dàng rất_thoải_mái thư_giãn,2/5/2023,10:00,5,422205164,positive
93,138,đắp lần mê phải mua lại,2/7/2023,20:04,5,422205809,positive
94,1394,da dầu mụn mua xài thấy mát nhẹ mặt cơ_mà tối_thoa sáng ngày mặt chảo dầu mụn bị lên nhiều sau biết sản_phẩm có cồn,5/10/2021,12:11,3,422200305,negative
95,350,dùng ổn không_bị,6/8/2022,14:11,5,422203301,positive
96,715,tốt,20/04/2023,10:06,5,200400004,positive
97,1734,mùi dễ_chịu giảm,20/11/2023,10:08,5,100220037,positive
98,3854,lọ nhỏ_xíu giá đắt quá_mình dùng hết lọ không_có thất_vọng,28/03/2022,14:56,1,100210020,negative
99,2241,sử_dụng lọ thử trắng mịn lên ngày kiếm có loại hợp da mặt nhạy_cảm mua lọ thứ,10/10/2023,20:20,5,206400009,positive
100,689,mui huong de chịu lam_mat nhanh gia_thành ổn,1/5/2023,9:30,5,204100019,positive
101,140,dùng hơn tháng da treatment tretinoin rất_khô nhạy_cảm sử_dụng xịt_khoáng thấy ẩm hơn dịu da hơn không_chỉ có nc không_thôi mà_còn chất dịu da khác ngoài_ra vòi xịt phun sương thấm_da rất_nhanh,13/12/2023,23:42,5,204100078,positive
102,415,,15/03/2023,7:31,5,422208974,positive
103,35,sản_phẩm dùng rất_hiệu_quả cực_kì phù_hợp bạn giá_thành oke mua,17/04/2023,13:48,5,100230059,positive
104,4319,sản_phẩm lỏng nước á đổ rahari chưa_thấy hiệu_quả trắng sáng,11/4/2020,17:53,4,223600032,positive
105,403,sản_phẩm dùng tốt,15/04/2023,20:27,5,422208972,positive
106,616,da chống nắng ổn kháng_bụi không_nặng mặt thấm nhanh không_lên tông da_trừ là hương_liệu hơi_gắt không_hợp mua thêm sử_dụng,27/03/2022,2:21,4,253900006,positive
107,1162,xài em bình_thường rất_tốt finish đẹp nhma hôm ẩm là bị khô da bong tróc_đồ nhẹ,2/9/2023,17:31,4,422217292,positive
108,2438,mặt_nạ xài,8/11/2020,0:07,5,422205162,positive
109,2466,giao hàng rất_nhanh quay lại review chất_lượng sau,18/06/2019,16:19,5,422205160,positive
110,236,đỉnh,30/11/2021,21:32,5,422204259,positive
111,3338,sữa chống nắng xài rất_tốt mỏng nhẹ thấm nhanh có mùi cồn,4/10/2019,19:19,4,223600010,positive
112,1453,da dầu sữa rửa mặt rửa sạch sâu quá_khô_bênh cánh mũi tróc da mặt căng,20/08/2022,11:48,3,204900159,negative
113,2427,đắp đốt mụn sưng giảm hẵn sạch sợi bã,2/6/2021,12:25,5,422202253,positive
114,341,loại tẩy_trang dùng loại để lại hậu_cảm tốt ý sau khi dùng để lại cảm_giác rất_tự_nhiên không_nhờn rít mùi hơi_khó_chịu dễ_tính mùi dùng lâu thấy okay không_khó_chịu mát mịn rẻ hậu_cảm tốt,14/03/2020,15:54,5,422211446,positive
116,56,cấp ẩm tốt dịu nhẹ da nhạy_cảm không_mùi,1/8/2022,22:43,5,318900012,positive
117,2456,mặt_nạ đắp hiệu_quả được cho miếng đắp thử đắp lần da trắng sáng trông thấy rõ,10/2/2020,16:15,5,308500013,positive
118,966,da là da hỗn_hợp dầu chữ t khô bên má nhìn_chung sản_phẩm dịu nhẹ cấp ẩm tốt da bình to dùng lâu hết tuy_nhiên vòi lần bơm dễ giăng ra nhiều hơn mức,29/03/2023,15:47,5,357100004,positive
119,2986,tiện_lợi có chai nhỏ dùng thử rất_tốt da_minh bị bong ngứa_mẫn đỏ xài retinol không_đủ ẩm sau khi xài kem ngày thấy đỡ bị dùng thử bé nv tư_vấn rất_tốt cảm_ơn em,7/8/2023,16:06,5,422200342,positive
120,1711,bha xài rất_êm không_có cảm_giác châm_chích khô rát da bạn khô rất_thích sản_phẩm sau khi bôi xong da hơi_có cảm_giác dầu da sáng dậy rửa mặt da rất_mướt mọng không_bị khô dùng kiên_trì giảm mụn làm sạch lỗ chân lông,6/5/2024,7:14,5,100220035,positive
121,2749,da dâu sai thích không_bị khô da dùng tiếp,13/10/2022,20:51,5,331300002,positive
122,676,giao hàng nhanh sản_phẩm không_khác nhiều so loại khác,17/01/2023,16:16,3,226200018,negative
123,1495,tốt,30/04/2020,20:11,5,204900159,positive
125,2753,tốt mỏng mịn nhanh thấm chống nắng cao,11/6/2022,12:45,5,422211276,positive
126,704,rất_thích hasaki sản_phẩm tẩy_trang,28/04/2023,18:42,5,100230057,positive
127,2140,hôm_qua có mua sản_phẩm bên yên_tâm kiếm_tra số_lượng theo đơn hàng nhận hàng khi về khui ra thấy hộp không_có tem_mác có dấu_hiệu khui trước có nhắn_tin hỏi shop nhưng_mà không_nhận được mua dùng thấy lo lo không_biết bên trong sản_phẩm có vấn_đề,21/02/2024,8:23,4,422209841,positive
128,404,,9/4/2023,21:46,4,200400003,positive
129,2796,bác_sĩ khoa thẩm_mĩ da bv liễu tp hcm bôi kem khi lazer dịu nhẹ tức_thì,24/09/2024,15:13,5,100180113,positive
130,253,không_đọc kỹ phần chữ nhỏ chai tảy_trang nhỏ được tặng tp nói_chung mua hàng hasaki lâu giá_cả hợp_lý hàng hãng yên_tâm,12/8/2021,8:37,4,205100146,positive
131,691,mùi hương dễ_chịu làm mát nhanh giá_thành ổn,30/04/2023,16:45,5,204100054,positive
132,701,rất_thích hasaki sản_phẩm tẩy_trang,29/04/2023,18:34,5,100230064,positive
133,1220,em nghĩ shop lấy loại lớn,25/10/2020,13:38,5,422217292,positive
134,2195,không_có tặng kèm bông trang,23/08/2022,7:32,4,249500028,positive
135,4038,dùg được mask hơi_dão không_ôm kim_cương ngọc_trai dùg_thích nhất,19/01/2021,0:34,5,365000013,positive
136,2308,rât_hợp da dầu mụn,2/8/2024,21:59,5,422205164,positive
137,2385,mùi hương dễ_chịu làm mát nhanh giá_thành ổn,29/04/2023,11:21,3,204100019,negative
138,2327,mùi hương dễ_chịu giá_thành rẻ,3/5/2023,17:48,5,204100019,positive
139,145,sap_phẩm tốt túi_tiền dung rất_hiệu_quả,19/04/2023,20:48,5,422211446,positive
140,2891,hồi dùng chai đầu_tiên thấy bình_thường khi kết_hợp uống nước thần hãng đi khen da trắng lên khi ngày_xưa nhìn mỹ_da đen_dị chân_ái đời,8/1/2021,8:23,5,358300002,positive
141,35,sản_phẩm mua sử_dụng thích,17/04/2023,13:44,5,318900011,positive
142,3972,đúng là tạo bọt sạch mà_còn giữ ẩm khi rửa tẩy_trang kĩ cảm_nhận tác_dụng sữa_rửa mặt dòng dược mỹ_phẩm dùng đáng đồng_tiền,29/10/2022,21:52,5,331300002,positive
143,162,hàng tốt nâng tone giá,9/1/2021,6:40,3,248700035,negative
144,1144,không_biết dùng chai thứ loại sữa rửa mặt rất_dịu nhẹ không_gây kích_ứng da rất_phù_hợp da nhạy_cảm dầu mụn ngày rửa lần không_bị khô kích_ứng vừa_rồi đổi loại sữa rửa mặt hãng khác da lại mụn viêm đỏ nhiều giờ phải quay lại,7/8/2023,14:20,5,422218629,positive
145,672,sử_dụng dễ_dàng rất_thoải_mái thư_giãn,4/5/2023,16:47,5,308500004,positive
146,171,là loại serum dạng dầu dùng sau không_rửa mặt hơi_dính,18/11/2022,0:24,4,422206648,positive
147,2665,bông quá_tệ_bụi quá_gĩu ra bông bay ra,10/4/2022,12:23,1,243300007,negative
149,3317,sản_phẩm kém bền dùng lần hỏng,12/11/2021,10:02,1,308500037,negative
150,562,xài tốt nhe xài ngày không_bị dầu mặt_mũi không_bị bóng cách bôi lần lấy chút tán lên mặt như_vậy kem không_bị vón cục,20/04/2021,11:08,5,204900013,positive
151,745,ap tặng bông tẩy_trang đặt không_thấy tặng,29/08/2022,8:59,5,200400004,positive
152,3342,mask xài thích mát ban_đầu hơi_châm_chích lúc hết da_dịu nốt mụn nhỏ xẹp hơn nói_chung là ưng bỏ tủ_lạnh xài_thích,14/08/2020,13:40,5,308100018,positive
153,3684,hài_lòng,17/03/2022,11:49,5,226200017,positive
154,205,dùng chai thứ cảm_thấy rất_ổn sau lần dùng có lớp bóng nhẹ người dùng sữa_rửa mặt là oke,19/05/2022,23:21,5,422211446,positive
155,680,tốt,30/04/2023,14:33,5,308500013,positive
156,256,em đỉnh tẩy trang_dịu nhẹ sạch bụi bẩn,27/12/2022,18:58,5,200400004,positive
157,1074,em tẩy_trang sạch cực_kỳ nhưng_mà da nhạy_cảm thiên_dầu dùng bị đỏ_da,18/12/2022,18:50,5,422201504,positive
158,1292,sản_phẩm tốt_dịu nhẹ bọt mịn dùng xong mặt rất_ẩm không_hề bị khô,15/05/2019,11:49,5,204900056,positive
159,2431,thơm nhẹ mượt,26/04/2021,19:37,5,308500004,positive
160,2105,rửa mặt sạch không_bị khô da,24/06/2021,5:49,5,422211501,positive
162,2453,tốt,30/03/2020,0:37,5,308500018,positive
163,1428,da hết mụn sau khi chuyển sử_dụng sữa rửa mặt,6/1/2021,17:24,5,422217029,positive
164,695,sử_dụng dễ_dàng rất_thoải_mái thư_giản,29/04/2023,11:43,5,308500009,positive
165,3116,nước tẩy_trang rẻ tốt_nha người,7/2/2024,11:07,5,223600035,positive
166,1492,dùng tôt,16/10/2020,10:37,5,100230069,positive
167,3015,phải làm_sao được giảm em,15/12/2016,12:33,5,100150066,positive
168,792,thấy rát da sạch không_thích hơi_rít da nhạy_cảm không_ưng,4/4/2021,1:56,3,355500010,negative
169,1895,chân_ái đời viêm mụn đỏ tối đắp em khi ngủ sáng hôm sau mụn không_còn viêm,12/4/2024,21:35,5,422205163,positive
170,788,hàng hãng có tem đàng_hoàng bạn da dầu hỗn_hợp xài oki á không_nhất_thiết da nhạy_cảm_xài được hãng nói,17/06/2021,9:42,5,100230064,positive
171,3873,xài chai là thấy da mặt sáng hơn da cổ tông_í thâm_mụn nhanh mờ,2/4/2023,9:25,5,422208242,positive
172,2459,,10/1/2020,14:31,5,308500009,positive
173,157,dòng nắp xám không_sạch nắp xanh nhạt người chắc sạch same nắp hồng được_cái không_cồn nắp xanh nhạt không_tạo bọt trượt da không_mượt bằng bù lại tẩy sạch_sẽ được lớp kcn cushion sương sương mất miếng dùng không_lên mụn_ẩn mức giá công_dụng độ an_toàn chấm,30/01/2023,11:22,5,422211446,positive
174,2418,xài chai da nhảy_cảm_xài em mừng,13/08/2021,17:20,5,343100028,positive
175,243,sử_dụng,6/10/2021,22:27,5,422208807,positive
176,1083,mua em store chưa_xem kỹ bảng thành_phần không_bt ẻm có mùi về bt ẻm có mùi mùi dễ_chịu em là brand_pháp mùi ẻm sang người sạch hơn dòng l oréal xài nma tốt,5/6/2022,22:38,5,422204906,positive
177,2143,có dư chai retinol viderm sử_dụng được tầm tuần chai retinol zo dang_dỡ không_hợp da muốn bán lại bạn có liên_hệ,15/04/2023,18:34,5,310100003,positive
178,858,hasaki giao hàng dùng có tác_dụng,8/4/2024,22:06,5,214000001,positive
179,409,sản_phẩm dùng tốt,11/4/2023,15:37,5,100230057,positive
180,1513,da ẩm_mịn trắng nhanh sài hết hũ kem đêm da trắng kem ngày có chống nắng,8/6/2023,20:18,5,422211548,positive
181,273,dùng hợp da dầu,26/06/2021,23:08,5,422208807,positive
182,4390,tẩy trang an_toàn nhẹ_nhàng da mặt dùng thường_ngày tẩy_trang kem chống nắng mùi dễ_chịu,22/10/2017,2:34,5,100750038,positive
185,1670,chất kem đặc mau thấm không_nhờn bóng da dầu mụn dùng rất_thích,9/12/2021,11:18,5,318900019,positive
186,545,không_biết mặt_nạ có tác_dụng thải độc không_mà đắp lúc thấy mặt,15/05/2021,20:22,4,365000014,positive
187,409,sản_phẩm dùng tốt,11/4/2023,15:37,5,200400004,positive
188,2305,tạm ổn thích evene hơn,26/12/2016,7:44,4,100150058,positive
189,712,su_dung de dang rat thoai mai thu_gian tot,27/04/2023,17:29,5,308500015,positive
190,1149,không_thấy hàng tặng,11/1/2023,15:22,5,422218631,positive
191,262,hài_lòng sản_phẩm,15/07/2021,21:58,4,357100011,positive
192,135,dùng phục_hồi,22/10/2024,6:08,5,422217972,positive
193,2052,đợt trước mua sài tốt lần em mua có mùi hắc khó_chịu sài bết không_bật,14/09/2022,9:58,1,422207413,negative
194,815,,24/02/2020,23:20,5,422216594,positive
195,441,mua trực_tiếp cửa_hàng tặng kèm tuýp rửa mặt bản chất kem màu vàng thấm tốt finish da ổn không_bị vón bện trắng bản cũ t thực_sự thích_bản cũ có nâng tông_bản không_nha t phải dặm thêm phấn_phủ không_nhìn mặt_mũi t xám_nghét,23/10/2023,13:11,5,204900013,positive
196,1114,không_hợp sản_phẩm kem hơi_khó thấm da điểm cộng là chất kem mềm mịn mùi thơm,30/10/2021,1:27,3,223600040,negative
197,2659,thích sản_phẩm dày sau khi lau không_bị rã ra,30/06/2022,12:06,5,422203809,positive
198,2596,bông mềm,20/11/2018,19:16,5,100230069,positive
199,761,dùng lâu giờ biết đánh_giá thực_sự sản_phẩm cực_hợp da bóng_nhờn mụn kiềm dầu tốt không_bật_tông da,13/02/2022,17:32,5,204100003,positive
200,16,tốt tầm giá không_tẩy mascara_lì sử_dụng hàng ngày tẩy kem chống nắng da dầu mụn xài em tốt,14/10/2023,16:54,5,205100136,positive
202,2214,hàng đẹp giống hình,15/01/2021,14:47,5,206200079,positive
204,2638,tẩy_trang xài okie giá_cả,20/11/2023,20:36,5,422203301,positive
205,2260,mịn da có mùi,23/04/2021,2:03,5,245500001,positive
206,2372,sử_dụng dễ_dàng rất_thoải_mái thư_giãn,29/04/2023,19:36,5,422205163,positive
207,2953,,13/12/2019,10:37,5,200500283,positive
208,409,sản_phẩm dùng tốt,11/4/2023,15:37,5,100230059,positive
209,246,giao nhanh giá rẻ shop tặng chai nhỏ không_thấy chai nhỏ,22/09/2021,18:30,5,422211446,positive
